epson-wf-c20590,l-alecc\EPSON Universal Print Driver (WF-C20590)
epson-wf-c869r,l-alecc\EPSON WF-C869R
epson-wf-r8590,l-alecc\epson-wf-r8590 (WF-R8590 Series)
